Título,Calificación,Géneros,Espectadores
Defendant (2017),8.7,"Thriller, Mystery, Law, Drama","32,541"
My Name (2021),8.7,"Action, Thriller, Mystery, Crime","103,409"
The First Responders (2022),8.7,"Action, Thriller, Mystery, Drama","22,932"
The King of Pigs (2022),8.7,"Thriller, Mystery, Drama","18,388"
"Kill Me, Heal Me (2015)",8.7,"Psychological, Comedy, Romance, Drama","116,117"
Dr. Romantic (2016),8.7,"Romance, Drama, Medical","73,929"
Flex X Cop (2024),8.7,"Action, Thriller, Mystery, Comedy","27,745"
Ultimate Note (2020),8.7,"Action, Adventure, Thriller, Mystery","11,052"
Business Proposal (2022),8.7,"Comedy, Romance, Drama","167,387"
Jewel in the Palace (2003),8.7,"Food, Historical, Romance, Medical","19,545"
Strangers from Hell (2019),8.6,"Thriller, Horror, Psychological, Drama","76,056"
Revenant (2023),8.7,"Thriller, Mystery, Horror, Supernatural","33,119"
Our Beloved Summer (2021),8.7,"Romance, Life, Youth, Drama","101,547"
18 Again (2020),8.6,"Romance, Life, Drama, Fantasy","79,972"
The Long Ballad (2021),8.6,"Action, Historical, Romance, War","33,245"
Who Rules the World (2022),8.7,"Romance, Wuxia, Fantasy","40,291"
Angels Fall Sometimes (2024),8.7,"Romance, Life, Melodrama","7,513"
New Life Begins (2022),8.7,"Historical, Comedy, Romance, Life","17,221"
Misaeng: Incomplete Life (2014),8.6,"Business, Life, Drama","34,456"
Unnatural (2018),8.7,"Thriller, Mystery, Medical","10,745"
Chicago Typewriter (2017),8.6,"Comedy, Romance, Supernatural, Political","65,484"
Bloodhounds (2023),8.6,"Action, Thriller, Crime, Drama","50,803"
One and Only (2021),8.6,"Military, Historical, Wuxia, Political","21,932"
The Kidnapping Day (2023),8.6,"Thriller, Mystery, Comedy, Drama","11,346"
Our Blues (2022),8.6,"Romance, Life, Drama, Melodrama","43,869"
Lost You Forever (2023),8.6,"Romance, Wuxia, Drama, Fantasy","18,483"
Missing: The Other Side (2020),8.6,"Thriller, Mystery, Supernatural","22,438"
Lighter & Princess (2022),8.6,"Business, Romance, Youth, Drama","38,208"
Hot Stove League (2019),8.6,"Drama, Sports, Melodrama","28,035"
Tunnel (2017),8.6,"Thriller, Mystery, Sci-Fi, Fantasy","44,793"
The Worst of Evil (2023),8.6,"Action, Thriller, Mystery, Crime","36,488"
"3 Nen A Gumi: Ima kara Mina-san wa, Hitojichi Desu (2019)",8.6,"Action, Thriller, Mystery, Psychological","18,675"
Descendants of the Sun (2016),8.6,"Action, Comedy, Romance, Melodrama","206,218"
Hanzawa Naoki (2013),8.6,"Thriller, Business, Drama","7,999"
The Fiery Priest (2019),8.6,"Action, Mystery, Comedy, Crime","35,032"
Winter Begonia (2020),8.6,"Historical, Business, Romance, Drama","9,482"
The Bad Kids (2020),8.6,"Adventure, Thriller, Mystery","8,796"
Mother (2010),8.6,"Thriller, Drama","11,552"
Falling into Your Smile (2021),8.6,"Comedy, Romance, Youth, Sports","74,337"
Hotel del Luna (2019),8.6,"Horror, Comedy, Romance, Fantasy","177,088"
My Perfect Stranger (2023),8.6,"Mystery, Romance, Drama, Sci-Fi","24,407"
Battle of Changsha (2014),8.6,"Military, Historical, Romance, War","8,277"
Glory of Special Forces (2022),8.6,"Action, Military, Youth, Drama","8,450"
Till the End of the Moon (2023),8.6,"Romance, Wuxia, Fantasy","35,633"
You Are My Hero (2021),8.6,"Military, Romance, Drama, Medical","32,776"
"It's Okay, That's Love (2014)",8.6,"Psychological, Comedy, Romance, Drama","92,059"
Welcome to Samdal-ri (2023),8.6,"Comedy, Romance, Life, Drama","58,956"
Live (2018),8.6,"Romance, Life, Drama","23,845"
Law School (2021),8.6,"Mystery, Law, Crime, Drama","53,203"
Ossan's Love Returns (2024),8.5,"Comedy, Romance, Drama","4,100"
Children of Nobody (2018),8.6,"Thriller, Mystery, Psychological, Drama","18,176"
Project S: Skate Our Souls (2017),8.6,"Psychological, Youth, Drama, Sports","5,293"
Cross Fire (2020),8.6,"Action, Youth, Sci-Fi, Sports","12,808"
Pyramid Game (2024),8.6,"Action, Thriller, Psychological, Drama","24,726"
Once Again (2020),8.6,"Comedy, Romance, Life, Drama","16,514"
Love Destiny (2018),8.6,"Historical, Comedy, Romance, Supernatural","7,697"
Lovely Us (2020),8.6,"Comedy, Romance, Life, Youth","11,818"
My Journey to You (2023),8.6,"Romance, Wuxia, Drama, Fantasy","22,667"
Kazoku Game (2013),8.6,"Mystery, Psychological, Life, Drama","11,381"
Amidst a Snowstorm of Love (2024),8.6,"Romance, Sports","27,886"
Shogun (2024),8.6,"Action, Historical, Drama, Political","6,594"
My Liberation Notes (2022),8.6,"Romance, Life, Drama, Melodrama","48,621"
Ghost Doctor (2022),8.6,"Comedy, Medical, Fantasy, Supernatural","41,148"
Juvenile Justice (2022),8.6,"Law, Drama","36,230"
Eulachacha Waikiki (2018),8.6,"Comedy, Life, Youth, Drama","75,104"
Black Out (2024),8.6,"Thriller, Mystery, Psychological, Drama","9,458"
Word of Honor (2021),8.6,"Mystery, Wuxia, Fantasy, Political","43,614"
Brush Up Life (2023),8.6,"Comedy, Life, Fantasy","4,399"
Eternal Love of Dream (2020),8.6,"Romance, Wuxia, Drama, Fantasy","26,769"
Empress Ki (2013),8.5,"Historical, Romance, Melodrama, Political","44,687"
Ashes of Love (2018),8.5,"Romance, Wuxia, Drama, Fantasy","48,700"
The Gifted (2018),8.5,"Thriller, Mystery, Psychological, Supernatural","27,336"
Go Back Couple (2017),8.5,"Comedy, Romance, Life, Fantasy","48,129"
High School Return of a Gangster (2024),8.5,"Life, Youth, Fantasy","25,013"
The Romance of Tiger and Rose (2020),8.5,"Historical, Comedy, Romance, Fantasy","44,897"
Tenno no Ryoriban (2015),8.5,"Food, Historical, Drama","5,412"
Good Manager (2017),8.5,"Business, Comedy, Crime, Drama","41,733"
MIU 404 (2020),8.5,"Mystery, Comedy","5,900"
The Bridal Mask (2012),8.5,"Action, Historical, Romance, Political","29,920"
Stranger Season 2 (2020),8.5,"Thriller, Mystery, Law, Drama","21,961"
Boku no Ita Jikan (2014),8.5,"Romance, Life, Drama, Melodrama","16,645"
Will Love in Spring (2024),8.4,"Romance, Life, Drama, Family","14,380"
